symbol,name,exchange
353590.KQ,오토앤,코스닥
200350.KQ,아티스트스튜디오,코스닥
403360.KS,라피치,코넥스
254160.KS,제이엠멀티,코넥스
404990.KS,신한서부티엔디리츠,유가
199800.KQ,툴젠,코스닥
396690.KS,미래에셋글로벌리츠,유가
402420.KS,켈스,코넥스
402340.KS,SK스퀘어,유가
377480.KQ,마음AI,코스닥
361570.KQ,알비더블유,코스닥
400760.KS,NH올원리츠,유가
222160.KQ,NPX,코스닥
290090.KQ,트윔,코스닥
372800.KQ,아이티아이즈,코스닥
311320.KQ,지오엘리먼트,코스닥
357880.KQ,SKAI,코스닥
376300.KQ,디어유,코스닥
389030.KQ,지니너스,코스닥
377300.KS,카카오페이,유가
376180.KQ,피코그램,코스닥
348370.KQ,엔켐,코스닥
377450.KQ,리파인,코스닥
382800.KQ,지앤비에스 에코,코스닥
114840.KQ,아이패밀리에스씨,코스닥
261780.KQ,차백신연구소,코스닥
382480.KQ,지아이텍,코스닥
391710.KQ,코닉오토메이션,코스닥
381970.KS,케이카,유가
376290.KQ,씨유테크,코스닥
159010.KQ,아스플로,코스닥
382840.KQ,원준,코스닥
257720.KQ,실리콘투,코스닥
260970.KQ,에스앤디,코스닥
377220.KQ,프롬바이오,코스닥
099430.KQ,바이오플러스,코스닥
329180.KS,HD현대중공업,유가
395400.KS,SK리츠,유가
273640.KQ,와이엠텍,코스닥
203400.KQ,에이비온,코스닥
388790.KQ,라이콤,코스닥
271940.KS,일진하이솔루스,유가
377190.KS,디앤디플랫폼리츠,유가
308080.KQ,바이젠셀,코스닥
139990.KS,아주스틸,유가
089860.KS,롯데렌탈,유가
099390.KQ,브레인즈컴퍼니,코스닥
315640.KQ,딥노이드,코스닥
372910.KS,한컴라이프케어,유가
058970.KQ,엠로,코스닥
367000.KQ,플래티어,코스닥
376980.KQ,원티드랩,코스닥
259960.KS,크래프톤,유가
195940.KQ,HK이노엔,코스닥
178920.KS,PI첨단소재,유가
323410.KS,카카오뱅크,유가
270660.KQ,에브리봇,코스닥
377030.KQ,비트맥스,코스닥
365270.KQ,큐라클,코스닥
137310.KS,에스디바이오센서,유가
352910.KQ,오비고,코스닥
097520.KS,엠씨넥스,유가
357580.KQ,아모센스,코스닥
318660.KS,타임기술,코넥스
303530.KQ,이노뎁,코스닥
232680.KQ,라온로보틱스,코스닥
379390.KS,이성씨엔아이,코넥스
187660.KQ,페니트리움바이오,코스닥
383310.KQ,에코프로에이치엔,코스닥
383800.KS,LX홀딩스,유가
363250.KQ,진시스템,코스닥
276730.KQ,한울앤제주,코스닥
383220.KS,F&F,유가
361670.KQ,삼영에스앤씨,코스닥
252990.KQ,샘씨엔에스,코스닥
352480.KQ,씨앤씨인터내셔널,코스닥
357230.KQ,에이치피오,코스닥
361610.KS,SK아이이테크놀로지,유가
294570.KQ,쿠콘,코스닥
351330.KQ,이삭엔지니어링,코스닥
059270.KQ,해성에어로보틱스,코스닥
333620.KQ,엔시스,코스닥
289220.KQ,자이언트스텝,코스닥
361390.KQ,제노코,코스닥
347700.KQ,스피어,코스닥
302440.KS,SK바이오사이언스,유가
314930.KQ,바이오다인,코스닥
950220.KQ,네오이뮨텍,코스닥
378850.KS,화승알앤에이,유가
356890.KQ,싸이버원,코스닥
334970.KQ,프레스티지바이오로직스,코스닥
247660.KQ,나노씨엠에스,코스닥
338220.KQ,뷰노,코스닥
373200.KQ,엑스플러스,코스닥
340930.KQ,유일에너테크,코스닥
189330.KQ,씨이랩,코스닥
322310.KQ,오로스테크놀로지,코스닥
239890.KQ,피엔에이치테크,코스닥
363260.KQ,모비데이즈,코스닥
